username,comment,rating,likes,create_time,comment_clean
n*****b,"Sumpaahh layarnya kayak mau copott...
Awalnya Pengen ngasih Nilai bagus tp koook lama kelamaan di bagian layar pas mau dibuka kayak abis bongkar pasang gitu..mau copot 😓😭
Mana mau di tuker juga udah gabisa 
Nambah Uang 100 rb via Tf katanya mau di Download in  SPSS jg ga di downlload iin

Huuhh..maaf min..Agak kecewa si aslinyaaa",3,2,1760666847,sumpaahh layarnya kayak mau copott awalnya pengen ngasih nilai bagus tp koook lama kelamaan di bagian layar pas mau dibuka kayak abis bongkar pasang gitu mau copot mana mau di tuker juga udah gabisa nambah uang 100 rb via tf katanya mau di download in spss jg ga di downlload iin huuhh maaf min agak kecewa si aslinyaaa
k*****o,"Fungsi:berfungsi dengan baik
Kondisi Barang:baik
Permukaan:ada penyok2 sedikit, tapi wajar untuk barang bekas

Belum sepenuhnya memakai (nanti kita update), tapi setelah dicoba cukup puas dengan barangnya, menurut saya barang sangat bagus untuk sebuah laptop seken",5,1,1763627346,fungsi berfungsi dengan baik kondisi barang baik permukaan ada penyok2 sedikit tapi wajar untuk barang bekas belum sepenuhnya memakai nanti kita update tapi setelah dicoba cukup puas dengan barangnya menurut saya barang sangat bagus untuk sebuah laptop seken
dhsonlineshop,"Fungsi:Nyala
Kondisi Barang:95% like new
Spesifikasi:sesuai deskripsi

Good Job",5,1,1758363770,fungsi nyala kondisi barang 95 like new spesifikasi sesuai deskripsi good job
anpass567,Kondisi Barang:batre bocor,1,0,1764342743,kondisi barang batre bocor
c*****i,"Fungsi:sesuai
Kondisi Barang:bagus
Desain:menarik",5,0,1758974724,fungsi sesuai kondisi barang bagus desain menarik
l*****o,"Fungsi:Normal
Kondisi Barang:95% mulus",5,0,1765779762,fungsi normal kondisi barang 95 mulus
id2363_71677,"Mantap, berfungsi dgn baik, ",5,0,1761831910,mantap berfungsi dgn baik
tim.jagurrr,"Fungsi:sesuai kegunaan
Kondisi Barang:mulus",5,0,1765726125,fungsi sesuai kegunaan kondisi barang mulus
kurniawanbonang,Semoga awet,5,0,1763966949,semoga awet
bagus_ir.id,Mantap,5,0,1757233015,mantap
r*****9,,5,0,1756652358,nan
c*****8,brg oke bagusss,5,0,1765621600,brg oke bagusss
kasrinih,,5,0,1761055526,nan
penghulumuda860,,5,0,1765539488,nan
pujias1,,5,0,1764200829,nan
wahyudoankaj,,5,0,1765362721,nan
zainalfanani271,,5,1,1764653178,nan
k*****s,Burukk,1,3,1764696496,burukk
mamathnizam700,,5,1,1765362780,nan
ramategarhartanto,,5,0,1765362808,nan
mulkymubarak136,,5,0,1740635865,nan
r*****i,,5,0,1742641152,nan
konartokho,,5,0,1741917572,nan
ollafee,,5,0,1745838158,nan
yulleeee,,5,0,1746186103,nan
seno129,,5,0,1762382656,nan
karpet_terkini,,5,0,1760932008,nan
dwengunawan,,5,0,1761157153,nan
sinarti_kedawung,,5,0,1743171841,nan
ahad8122,,5,0,1750924971,nan
sendhyhariswan,,5,0,1753262456,nan
ardirijal,,5,0,1763705606,nan
siska123777,,5,0,1764314920,nan
a*****i,,5,0,1761220103,nan
luqman.lucid,,4,0,1744632689,nan
ayahnya_zio,,4,0,1760697615,nan
darmawanangkasa,,5,0,1763826457,nan
aangko1611,,5,0,1762513757,nan
s*****a,,4,0,1747847381,nan
rudigautama,,5,0,1745441316,nan
jayagiriban99,,5,0,1762215083,nan
febriansadegaa,,5,0,1760961109,nan
bamsq07,,5,0,1749027373,nan
ref_sablon,,4,0,1746687041,nan
affandi906,,5,0,1749742153,nan
trivania_17,,4,0,1753537919,nan
adisolihin79,,5,0,1759325985,nan
letiapermatasari,,5,0,1743687984,nan
akbaryakin,,5,0,1743825164,nan
sukrizam,,5,0,1759473391,nan
maryan_ody,,5,0,1742032349,nan
adeirmarfs,,5,0,1763600913,nan
msubroto1234,,5,0,1744197578,nan
cipto108,,5,0,1753252898,nan
arrymotion,,5,0,1749187534,nan
beningcolisa,,5,0,1764679345,nan
emiliafifianaf,,5,0,1760665036,nan
alisudrajat6695,,5,0,1751994981,nan
fitra_dian,,5,0,1765065660,nan
alfinfarel,,5,0,1759719345,nan
haryanto.photo,,5,0,1748500511,nan
ridwanarief.234,,5,0,1747829200,nan
andiaz80,,5,0,1741782333,nan
liyawanindra2,,5,0,1764378992,nan
r0d3.t,,5,0,1762236967,nan
demirza01,,5,0,1749959285,nan
ekaharmuny,,5,0,1764420837,nan
danichandrap,,5,0,1761975241,nan
umenproduct14,,5,0,1748063068,nan
margarethsgt,,5,0,1743317348,nan
gutunubai,,5,0,1762518900,nan
