username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count
f*****e,Fungsi:berjalan dengan baik & lancar,5,0,1747041791,fungsi berjalan dengan baik lancar,fungsi berjalan dengan baik lancar,5
g*****z,"Fitur Terbaik:ok
Sepadan dengan Harga:ya

Respon penjual cepat",5,0,1669352691,fitur terbaik ok sepadan dengan harga ya respon penjual cepat,fitur terbaik ok sepadan dengan harga ya respon penjual cepat,10
missly,"Fitur Terbaik:original

Respon Penjual Mantap.. 
Jasa Kirim Lumayanlah",5,0,1690171511,fitur terbaik original respon penjual mantap jasa kirim lumayanlah,fitur terbaik original respon penjual mantap jasa kirim lumayanlah,9
royal_os,Good,5,0,1740115426,good,good,1
rafifkholilurrahman,"Garansi:produk bergaransi
Kinerja:berfungsi dengan baik

Bekerja dengan baik",5,0,1730759947,garansi produk bergaransi kinerja berfungsi dengan baik bekerja dengan baik,garansi produk bergaransi kinerja berfungsi dengan baik bekerja dengan baik,10
rezabil,"Belum dicoba, semoga aja awet",5,0,1738511894,belum dicoba semoga aja awet,belum dicoba semoga aja awet,5
sr7cfaoldz,,5,0,1699280531,,nan,1
andreas_adityo,Fungsi:Bekerja dengan baik,5,0,1745646473,fungsi bekerja dengan baik,fungsi bekerja dengan baik,4
r*****0,,5,0,1719435674,,nan,1
b*****6,Fungsi:Mantap 👍,5,0,1747784768,fungsi mantap,fungsi mantap,2
jolseak_store,"Sepadan dengan Harga:layak banget recommended
Fitur Terbaik:sangat bagus",5,0,1664097345,sepadan dengan harga layak banget recommended fitur terbaik sangat bagus,sepadan dengan harga layak banget recommended fitur terbaik sangat bagus,10
bjotawon,"Oke sih...cuma tolong untuk packingnya diperbaiki, apa susanya menambahkan dus kecil sebelum di beri bubble warp supaya lebih aman lagi. Overall barang oke, cuma kurang aman di sisi pengemasan seller.",4,0,1716180996,oke sih cuma tolong untuk packingnya diperbaiki apa susanya menambahkan dus kecil sebelum di beri bubble warp supaya lebih aman lagi overall barang oke cuma kurang aman di sisi pengemasan seller,oke sih cuma tolong untuk packingnya diperbaiki apa susanya menambahkan dus kecil sebelum di beri bubble warp supaya lebih aman lagi overall barang oke cuma kurang aman di sisi pengemasan seller,31
